Episode,Total Reward,Fruits Collected,Survival Time
1099,88.50000000000007,1,16
1100,-10.2,0,3
1101,-10.3,0,4
1102,-10.9,0,10
1103,-10.9,0,10
1104,-10.0,0,1
1105,-10.5,0,6
1106,-10.3,0,4
1107,-10.6,0,7
1108,-10.7,0,8
1109,-10.8,0,9
1110,-10.2,0,3
1111,-10.4,0,5
1112,-10.0,0,1
1113,-10.7,0,8
1114,-10.3,0,4
1115,-10.9,0,10
1116,-10.8,0,9
1117,-10.6,0,7
1118,-10.0,0,1
1119,-10.3,0,4
1120,-10.4,0,5
1121,89.20000000000002,1,9
1122,-10.0,0,1
1123,-10.0,0,1
1124,89.50000000000001,1,6
1125,-10.5,0,6
1126,-10.7,0,8
1127,-10.7,0,8
1128,-10.5,0,6
1129,-10.2,0,3
1130,-10.4,0,5
1131,89.70000000000002,1,4
1132,-10.7,0,8
1133,89.60000000000001,1,5
1134,-10.8,0,9
1135,-10.3,0,4
1136,-11.0,0,11
1137,-10.0,0,1
1138,-10.4,0,5
1139,-10.7,0,8
1140,-10.2,0,3
1141,-10.1,0,2
1142,-10.6,0,7
1143,-10.0,0,1
1144,-10.4,0,5
1145,89.30000000000003,1,8
1146,-10.4,0,5
1147,-10.2,0,3
1148,-11.5,0,16
1149,-10.1,0,2
1150,-10.0,0,1
1151,-10.5,0,6
1152,-10.9,0,10
1153,-10.5,0,6
1154,-10.4,0,5
1155,-10.3,0,4
1156,-10.4,0,5
1157,-10.9,0,10
1158,-10.0,0,1
1159,-10.6,0,7
1160,-10.1,0,2
1161,-10.6,0,7
1162,-10.6,0,7
1163,-10.5,0,6
1164,-10.4,0,5
1165,-10.9,0,10
1166,-10.1,0,2
1167,-10.5,0,6
1168,-10.0,0,1
1169,-10.4,0,5
1170,-10.4,0,5
1171,-10.1,0,2
1172,-10.0,0,1
1173,-11.0,0,11
1174,-10.4,0,5
1175,-10.8,0,9
1176,-10.7,0,8
1177,-10.0,0,1
1178,-10.8,0,9
1179,-10.0,0,1
1180,-10.9,0,10
1181,-10.7,0,8
1182,-10.2,0,3
1183,-11.1,0,12
1184,-10.4,0,5
1185,-10.1,0,2
1186,-10.5,0,6
1187,-10.6,0,7
1188,-10.2,0,3
1189,-11.0,0,11
1190,-10.2,0,3
1191,-10.6,0,7
1192,-10.8,0,9
1193,-10.8,0,9
1194,-10.5,0,6
1195,-10.0,0,1
1196,89.30000000000004,1,8
1197,-10.2,0,3
1198,89.10000000000005,1,10
1199,-10.3,0,4
1200,89.0,1,11
1201,-10.8,0,9
1202,-10.1,0,2
1203,-10.5,0,6
1204,-10.4,0,5
1205,-10.8,0,9
1206,-10.8,0,9
1207,-10.7,0,8
1208,89.20000000000002,1,9
1209,-10.3,0,4
1210,89.20000000000005,1,9
1211,-10.2,0,3
1212,-10.0,0,1
1213,-10.9,0,10
1214,-10.1,0,2
1215,-10.5,0,6
1216,-10.6,0,7
1217,89.20000000000003,1,9
